model,checkpoint,seed,probe_recall,current_recall
"ReplayMLP1(128, 200)",700,0,0.02,0.0
"ReplayMLP1(128, 200)",800,0,0.02,0.0
"ReplayMLP1(128, 200)",900,0,0.01,0.0
"ReplayMLP1(128, 200)",1000,0,0.01,0.0
"ReplayMLP1(128, 200)",100,1,0.01,0.01
"ReplayMLP1(128, 200)",200,1,0.03,0.0
"ReplayMLP1(128, 200)",300,1,0.02,0.0
"ReplayMLP1(128, 200)",400,1,0.02,0.0
"ReplayMLP1(128, 200)",500,1,0.01,0.0
"ReplayMLP1(128, 200)",600,1,0.01,0.0
"ReplayMLP1(128, 200)",700,1,0.02,0.0
"ReplayMLP1(128, 200)",800,1,0.01,0.0
"ReplayMLP1(128, 200)",900,1,0.02,0.0
"ReplayMLP1(128, 200)",1000,1,0.02,0.0
"ReplayMLP1(128, 200)",100,2,0.01,0.01
"ReplayMLP1(128, 200)",200,2,0.01,0.0
"ReplayMLP1(128, 200)",300,2,0.01,0.0
"ReplayMLP1(128, 200)",400,2,0.01,0.0
"ReplayMLP1(128, 200)",500,2,0.02,0.0
"ReplayMLP1(128, 200)",600,2,0.02,0.0
"ReplayMLP1(128, 200)",700,2,0.04,0.0
"ReplayMLP1(128, 200)",800,2,0.01,0.0
"ReplayMLP1(128, 200)",900,2,0.01,0.0
"ReplayMLP1(128, 200)",1000,2,0.01,0.0
"ReplayMLP1(128, 200)",100,3,0.01,0.01
"ReplayMLP1(128, 200)",200,3,0.01,0.0
"ReplayMLP1(128, 200)",300,3,0.02,0.0
"ReplayMLP1(128, 200)",400,3,0.01,0.0
"ReplayMLP1(128, 200)",500,3,0.03,0.0
"ReplayMLP1(128, 200)",600,3,0.03,0.0
"ReplayMLP1(128, 200)",700,3,0.02,0.0
"ReplayMLP1(128, 200)",800,3,0.02,0.0
"ReplayMLP1(128, 200)",900,3,0.04,0.0
"ReplayMLP1(128, 200)",1000,3,0.02,0.0
"ReplayMLP1(128, 200)",100,4,0.01,0.01
"ReplayMLP1(128, 200)",200,4,0.01,0.0
"ReplayMLP1(128, 200)",300,4,0.01,0.0
"ReplayMLP1(128, 200)",400,4,0.01,0.0
"ReplayMLP1(128, 200)",500,4,0.01,0.0
"ReplayMLP1(128, 200)",600,4,0.03,0.0
"ReplayMLP1(128, 200)",700,4,0.01,0.0
"ReplayMLP1(128, 200)",800,4,0.01,0.0
"ReplayMLP1(128, 200)",900,4,0.03,0.0
"ReplayMLP1(128, 200)",1000,4,0.03,0.0
