seed,experiment,config,alpha_decay,u2_enabled,replay_buffer_size,num_facts,recall,forgetting,drift,variance_mean,variance_min,variance_max,runtime_sec,width
202,u2_ablation_scaling,"width=32,num_facts=50",0.02,False,0,50,0.06,0.5,5.731754779815674,0.006715143099427223,0.000767864054068923,0.009939700365066528,1.737757682800293,32
303,u2_ablation_scaling,"width=32,num_facts=50",0.02,False,0,50,0.04,0.5399999999999999,5.83414101600647,0.006564792711287737,0.0007614978239871562,0.009951939806342125,2.0505430698394775,32
404,u2_ablation_scaling,"width=32,num_facts=50",0.02,False,0,50,0.04,0.6599999999999999,5.909251928329468,0.0063440934754908085,0.0007559151854366064,0.009978031739592552,1.6989846229553223,32
505,u2_ablation_scaling,"width=32,num_facts=50",0.02,False,0,50,0.02,0.54,5.938249111175537,0.006010221317410469,0.0007573615876026452,0.009931500069797039,2.0350115299224854,32
606,u2_ablation_scaling,"width=32,num_facts=50",0.02,False,0,50,0.02,0.52,5.674460411071777,0.006524795666337013,0.0007553949835710227,0.009922192431986332,2.1134259700775146,32
707,u2_ablation_scaling,"width=32,num_facts=50",0.02,False,0,50,0.04,0.64,5.632521867752075,0.006628838367760181,0.000761105096898973,0.009953519329428673,1.8057327270507812,32
808,u2_ablation_scaling,"width=32,num_facts=50",0.02,False,0,50,0.04,0.52,6.003612995147705,0.006406776607036591,0.0007821220206096768,0.009960945695638657,1.8622455596923828,32
909,u2_ablation_scaling,"width=32,num_facts=50",0.02,False,0,50,0.04,0.6,5.9409215450286865,0.006354920100420713,0.0007743625901639462,0.009941061958670616,1.8932664394378662,32
42,u2_ablation_scaling,"width=32,num_facts=100",0.02,False,0,100,0.01,0.7,8.315665006637573,0.007697483524680138,0.000757667061407119,0.009952512569725513,3.95276141166687,32
101,u2_ablation_scaling,"width=32,num_facts=100",0.02,False,0,100,0.01,0.66,7.70493483543396,0.007954095490276814,0.0007547945715487003,0.009967760182917118,3.790999412536621,32
