seed,experiment,config,alpha_decay,u2_enabled,replay_buffer_size,num_facts,recall,forgetting,drift,variance_mean,variance_min,variance_max,runtime_sec,width
101,width_scaling,"width=128,num_facts=5",0.02,True,0,5,0.4,0.4,5.628338515758514,0.009945170022547245,0.004537168890237808,0.00999999139457941,0.2781851291656494,128
202,width_scaling,"width=128,num_facts=5",0.02,True,0,5,0.0,0.8,5.666698336601257,0.009948031045496464,0.0047078500501811504,0.009999986737966537,0.2523062229156494,128
42,width_scaling,"width=128,num_facts=10",0.02,True,0,10,0.3,0.10000000000000003,6.903931736946106,0.009944377467036247,0.006218660622835159,0.00999997928738594,0.5387873649597168,128
101,width_scaling,"width=128,num_facts=10",0.02,True,0,10,0.2,0.49999999999999994,6.59602415561676,0.009941443800926208,0.005158914253115654,0.009999977424740791,0.682114839553833,128
202,width_scaling,"width=128,num_facts=10",0.02,True,0,10,0.2,0.39999999999999997,6.811473608016968,0.009942451491951942,0.005426414310932159,0.009999977424740791,0.5864369869232178,128
42,width_scaling,"width=128,num_facts=20",0.02,True,0,20,0.05,0.5,7.977875709533691,0.00994853489100933,0.006176066119223833,0.009999977424740791,1.1382899284362793,128
101,width_scaling,"width=128,num_facts=20",0.02,True,0,20,0.15,0.35,8.06052279472351,0.009947926737368107,0.006380971521139145,0.009999977424740791,1.0931611061096191,128
202,width_scaling,"width=128,num_facts=20",0.02,True,0,20,0.05,0.35000000000000003,8.402437448501587,0.00995188020169735,0.006669814232736826,0.009999977424740791,1.0779414176940918,128
42,width_scaling,"width=128,num_facts=50",0.02,True,0,50,0.04,0.5,10.930383205413818,0.009965942241251469,0.007415637373924255,0.009999977424740791,3.559769868850708,128
101,width_scaling,"width=128,num_facts=50",0.02,True,0,50,0.02,0.36,11.041645050048828,0.009966516867280006,0.007641214411705732,0.009999977424740791,5.290198802947998,128
202,width_scaling,"width=128,num_facts=50",0.02,True,0,50,0.04,0.32,10.972833156585693,0.009965620934963226,0.007526349276304245,0.009999977424740791,3.038022994995117,128
42,width_scaling,"width=128,num_facts=100",0.02,True,0,100,0.01,0.52,13.702693939208984,0.009979951195418835,0.007810272742062807,0.009999977424740791,5.778384685516357,128
101,width_scaling,"width=128,num_facts=100",0.02,True,0,100,0.01,0.39,13.536612510681152,0.00998059194535017,0.00808644201606512,0.009999977424740791,5.852127313613892,128
202,width_scaling,"width=128,num_facts=100",0.02,True,0,100,0.01,0.36,13.64101791381836,0.009980280883610249,0.008025404997169971,0.009999977424740791,5.8178441524505615,128
42,width_scaling,"width=128,num_facts=200",0.02,True,0,200,0.005,0.39,16.788494110107422,0.009985772892832756,0.008177332580089569,0.009999977424740791,12.438065528869629,128
101,width_scaling,"width=128,num_facts=200",0.02,True,0,200,0.005,0.68,16.179932117462158,0.009985681623220444,0.008313890546560287,0.009999977424740791,12.505229473114014,128
202,width_scaling,"width=128,num_facts=200",0.02,True,0,200,0.005,0.385,16.70787239074707,0.009985771030187607,0.008260351605713367,0.009999977424740791,13.11903166770935,128
42,width_scaling,"width=128,num_facts=400",0.02,True,0,400,0.0025,0.44,21.3826322555542,0.009989475831389427,0.00827629491686821,0.009999977424740791,26.829340934753418,128
101,width_scaling,"width=128,num_facts=400",0.02,True,0,400,0.0025,0.4125,21.28227186203003,0.009989463724195957,0.008337939158082008,0.009999977424740791,26.761571168899536,128
202,width_scaling,"width=128,num_facts=400",0.02,True,0,400,0.0025,0.4225,21.473161220550537,0.009989496320486069,0.008262163028120995,0.009999977424740791,26.53646206855774,128
42,width_scaling,"width=128,num_facts=800",0.02,True,0,800,0.00125,0.41375,27.54167413711548,0.009992994368076324,0.00853801891207695,0.009999977424740791,61.99437618255615,128
