seed,experiment,config,alpha_decay,u2_enabled,replay_buffer_size,num_facts,recall,forgetting,drift,variance_mean,variance_min,variance_max,runtime_sec
606,capacity_wall,num_facts=20,0.02,True,0,20,0.05,0.95,4.665125370025635,0.009877367876470089,0.002429668325930834,0.009999977424740791,0.5788311958312988
707,capacity_wall,num_facts=20,0.02,True,0,20,0.05,0.95,4.5224997997283936,0.009879907593131065,0.0028197967913001776,0.009999977424740791,0.5748076438903809
808,capacity_wall,num_facts=20,0.02,True,0,20,0.05,0.95,4.71146023273468,0.009881062433123589,0.002470620907843113,0.009999977424740791,0.5660302639007568
909,capacity_wall,num_facts=20,0.02,True,0,20,0.05,0.95,4.361754536628723,0.009880396537482738,0.0026159377302974463,0.009999977424740791,0.5687956809997559
42,capacity_wall,num_facts=50,0.02,True,0,50,0.02,0.98,6.361410617828369,0.00988445058465004,0.0028930020052939653,0.009999977424740791,1.4944326877593994
101,capacity_wall,num_facts=50,0.02,True,0,50,0.02,0.98,6.527546167373657,0.009884138591587543,0.002283921465277672,0.009999977424740791,1.444572925567627
202,capacity_wall,num_facts=50,0.02,True,0,50,0.02,0.98,6.402418851852417,0.009876862168312073,0.002156754955649376,0.009999977424740791,1.4341647624969482
303,capacity_wall,num_facts=50,0.02,True,0,50,0.02,0.98,6.41161322593689,0.009880807250738144,0.0024217732716351748,0.009999977424740791,1.4475388526916504
404,capacity_wall,num_facts=50,0.02,True,0,50,0.02,0.98,6.391161203384399,0.009884330444037914,0.0025187882129102945,0.009999977424740791,1.4309360980987549
505,capacity_wall,num_facts=50,0.02,True,0,50,0.02,0.98,6.479879379272461,0.009875456802546978,0.0022736534010618925,0.009999977424740791,1.5266594886779785
606,capacity_wall,num_facts=50,0.02,True,0,50,0.02,0.98,6.378922939300537,0.009881336241960526,0.002236633561551571,0.009999977424740791,1.6115789413452148
707,capacity_wall,num_facts=50,0.02,True,0,50,0.02,0.98,6.54184365272522,0.009873822331428528,0.0022608046419918537,0.009999977424740791,1.6118965148925781
808,capacity_wall,num_facts=50,0.02,True,0,50,0.02,0.98,6.506389856338501,0.009880333207547665,0.002026255941018462,0.009999977424740791,1.6097161769866943
909,capacity_wall,num_facts=50,0.02,True,0,50,0.02,0.98,6.38199520111084,0.009877512231469154,0.002338349586352706,0.009999977424740791,1.5964579582214355
42,capacity_wall,num_facts=100,0.02,True,0,100,0.01,0.99,9.206024646759033,0.00989415030926466,0.0028242641128599644,0.009999977424740791,3.1835427284240723
101,capacity_wall,num_facts=100,0.02,True,0,100,0.01,0.99,9.244220972061157,0.009890638291835785,0.0028921107295900583,0.009999977424740791,3.2996206283569336
202,capacity_wall,num_facts=100,0.02,True,0,100,0.01,0.99,9.213560819625854,0.009888782165944576,0.002746314974501729,0.009999977424740791,3.212967872619629
303,capacity_wall,num_facts=100,0.02,True,0,100,0.01,0.99,9.091624736785889,0.00988329853862524,0.0024025815073400736,0.009999977424740791,3.227959394454956
404,capacity_wall,num_facts=100,0.02,True,0,100,0.01,0.99,9.212849140167236,0.009892660193145275,0.0025319501291960478,0.009999977424740791,3.3860530853271484
505,capacity_wall,num_facts=100,0.02,True,0,100,0.01,0.99,9.187644243240356,0.009886515326797962,0.0021995906718075275,0.009999977424740791,3.2328710556030273
606,capacity_wall,num_facts=100,0.02,True,0,100,0.01,0.99,9.158016204833984,0.009896475821733475,0.0027299944777041674,0.009999977424740791,3.2347333431243896
707,capacity_wall,num_facts=100,0.02,True,0,100,0.01,0.99,9.100841760635376,0.009889504872262478,0.0029019606299698353,0.009999977424740791,3.2201428413391113
808,capacity_wall,num_facts=100,0.02,True,0,100,0.01,0.99,9.21247935295105,0.009890928864479065,0.003102474147453904,0.009999977424740791,3.212324380874634
909,capacity_wall,num_facts=100,0.02,True,0,100,0.01,0.99,9.444290161132812,0.009886490181088448,0.002722003497183323,0.009999977424740791,3.2144949436187744
42,capacity_wall,num_facts=200,0.02,True,0,200,0.005,0.995,13.170155763626099,0.009931568056344986,0.0038875597529113293,0.009999977424740791,6.82029390335083
101,capacity_wall,num_facts=200,0.02,True,0,200,0.005,0.995,12.978320360183716,0.009929339401423931,0.0035006855614483356,0.009999977424740791,6.70211935043335
202,capacity_wall,num_facts=200,0.02,True,0,200,0.005,0.995,13.117244243621826,0.009931787848472595,0.0031388592906296253,0.009999977424740791,7.026920795440674
303,capacity_wall,num_facts=200,0.02,True,0,200,0.005,0.995,13.028078317642212,0.009930252097547054,0.0036377054639160633,0.009999977424740791,7.32630181312561
