encoder,norm_mode,space,projection,N,metric,recall_proto,recall_1nn,proto_advantage,mean_lcomp,centroid_top1,centroid_top5,centroid_top10,centroid_top20,exemplar_top1,exemplar_top5,exemplar_top10,exemplar_top20,mean_proto_rank,median_proto_rank,p90_proto_rank,mean_exemplar_rank,median_exemplar_rank,p90_exemplar_rank,linear_probe_svc,linear_probe_lr,margin_p1,margin_p5,margin_p10,margin_p25,margin_p50,margin_p75,margin_p90,z_score,distortion_mean,distortion_median,distortion_p95
e5-small-v2,l2_normalized,proj_256d,random,200,L1,0.645,0.675,-0.030000000000000027,1.0185314530134202,0.645,0.91,0.955,0.985,0.675,0.95,0.995,1.0,1.435,0.0,4.0,0.86,0.0,3.0,0.405,0.41,-0.10094761133193969,-0.06433742046356201,-0.04739817976951599,-0.011026114225387573,0.016497701406478882,0.052788034081459045,0.08130052089691162,2.633636580546495,0.9099774913191795,0.9112911820411682,0.9265863299369812
e5-small-v2,l2_normalized,proj_256d,random,200,L2,0.39,0.44,-0.04999999999999999,1.055856333374977,0.39,0.695,0.84,0.905,0.44,0.815,0.9,0.975,7.295,1.0,17.19999999999999,2.895,1.0,9.099999999999994,0.405,0.41,-0.021694404557347297,-0.013085654377937316,-0.010528063029050827,-0.0063904691487550735,-0.0018362998962402344,0.002757774665951729,0.006132437288761138,1.982881931066731,0.9099774913191795,0.9112911820411682,0.9265863299369812
e5-small-v2,l2_normalized,proj_256d,random,200,Cosine,0.41,0.415,-0.0050000000000000044,1.1130216276645661,0.41,0.74,0.83,0.92,0.415,0.8,0.91,0.975,7.155,1.0,14.0,3.0,1.0,8.0,0.405,0.41,-8.12053680419922e-06,-5.844235420227051e-06,-3.880262374877929e-06,-2.2202730178833008e-06,-5.364418029785156e-07,1.0132789611816406e-06,2.211332321166992e-06,1.4255445889376641,0.9099774913191795,0.9112911820411682,0.9265863299369812
e5-small-v2,l2_normalized,proj_256d,svd,200,L1,0.91,0.915,-0.0050000000000000044,1.0138797742128371,0.91,0.995,1.0,1.0,0.915,0.995,1.0,1.0,0.115,0.0,0.0,0.115,0.0,0.0,0.91,0.9,-0.30414658546447754,-0.10351905822753905,0.016897821426391603,0.317612886428833,0.46681737899780273,0.5555382966995239,0.6066618919372558,3.0482913847302484,0.5351057069599628,0.5410570204257965,0.6318023324012756
e5-small-v2,l2_normalized,proj_256d,svd,200,L2,0.9,0.895,0.0050000000000000044,1.045083863735199,0.9,0.985,1.0,1.0,0.895,1.0,1.0,1.0,0.185,0.0,0.09999999999999432,0.12,0.0,1.0,0.91,0.9,-0.02164226919412613,-0.012679849565029143,0.0016229867935180751,0.025263577699661255,0.03979906439781189,0.0548798069357872,0.06487861275672913,2.7109775467862383,0.5351057069599628,0.5410570204257965,0.6318023324012756
e5-small-v2,l2_normalized,proj_256d,svd,200,Cosine,0.9,0.9,0.0,1.156413660645485,0.9,0.985,1.0,1.0,0.9,1.0,1.0,1.0,0.18,0.0,0.09999999999999432,0.115,0.0,0.09999999999999432,0.91,0.9,-0.052092081904411315,-0.017055577039718623,0.0009015560150146532,0.06488499045372009,0.09660887718200684,0.13222216069698334,0.15865159630775452,2.2939694271000257,0.5351057069599628,0.5410570204257965,0.6318023324012756
e5-small-v2,raw,raw,none,400,L1,0.5475,0.555,-0.007500000000000062,1.0472968167066574,0.5475,0.995,0.9975,1.0,0.555,0.995,1.0,1.0,0.615,0.0,2.0,0.5725,0.0,1.0,0.555,0.5525,-0.4974596929550171,-0.38399374485015864,-0.3102826118469238,-0.17464947700500488,0.05691814422607422,0.30604612827301025,0.46374030113220216,2.895862053291145,0.0,0.0,0.0
e5-small-v2,raw,raw,none,400,L2,0.555,0.5625,-0.007499999999999951,1.038254162222147,0.555,0.9925,0.9975,1.0,0.5625,0.995,1.0,1.0,0.6,0.0,1.1000000000000227,0.55,0.0,1.0,0.555,0.5525,-0.03335512429475784,-0.019262224435806274,-0.01629066169261932,-0.009508289396762848,0.0034952014684677124,0.017680205404758453,0.033198302984237676,2.9312065416582027,0.0,0.0,0.0
e5-small-v2,raw,raw,none,400,Cosine,0.555,0.5625,-0.007499999999999951,1.0991040343046188,0.555,0.9925,0.9975,1.0,0.5625,0.995,1.0,1.0,0.6,0.0,1.1000000000000227,0.55,0.0,1.0,0.555,0.5525,-0.01990231156349182,-0.009905806183815003,-0.008203983306884766,-0.004739806056022644,0.0016157925128936768,0.008899286389350891,0.020425480604171754,2.3042884521056752,0.0,0.0,0.0
e5-small-v2,raw,proj_128d,random,400,L1,0.26,0.2825,-0.022499999999999964,1.0389662927389145,0.26,0.635,0.775,0.8575,0.2825,0.7,0.8125,0.8775,10.805,2.0,27.100000000000023,8.39,2.0,24.0,0.0025,0.0025,-3.16619873046875e-05,-2.4041533470153807e-05,-1.8578767776489254e-05,-1.0818243026733398e-05,-4.231929779052734e-06,3.129243850708008e-07,4.947185516357422e-06,2.7580808778758095,0.9999855910914728,0.9999857544898987,0.9999886751174927
