N,mode,projection_type,W,recall_at_1,recall_at_5,recall_at_10,mean_rank,mean_margin,p5_margin,mean_gap_ratio,mean_top1_dist,mean_top2_dist,mean_decision_gap,neighbor_recall_at_10,distortion_rate
400,capacity,random,64,0.7258333333333332,0.9533333333333333,0.9833333333333334,0.0,0.1275740117828051,-0.1395675202210744,0.0,0.0,0.0,0.16688374549150467,0.7105833333333332,0.0034197610802948475
400,capacity,svd,64,0.8875,1.0,1.0,1.1575,0.47986239671707154,-0.09988185167312622,1.18712046651484,2.7425180172920225,3.2223804140090944,0.5023834788799286,0.8530000000000001,0.029235003516077995
400,capacity,learned,64,0.8675,1.0,1.0,1.18,0.32446794092655185,-0.10060935020446775,1.1554321049834857,2.240293883383274,2.564761824309826,0.3542094522714615,0.752,0.06255665421485901
400,capacity,random,128,0.8208333333333333,0.9891666666666667,0.9975,0.0,0.34476493239402767,-0.1559602340062459,0.0,0.0,0.0,0.3829081430037817,0.7964166666666667,0.0027125519700348377
400,capacity,svd,128,0.945,1.0,1.0,1.08,0.7836124300956726,-0.04542582035064695,1.1828952212627502,4.609598727226257,5.39321115732193,0.7983274936676026,0.8507500000000001,0.007432770915329456
400,capacity,learned,128,0.925,0.9975,1.0,1.125,0.7517619603872299,-0.1032877445220947,1.1803214253309273,4.374539682865143,5.126301643252373,0.7834625190496445,0.7722500000000001,0.062066540122032166
400,capacity,random,256,0.8958333333333334,0.9975,1.0,0.0,0.7801495802402497,-0.16878250439961748,0.0,0.0,0.0,0.8234831289450327,0.8396666666666667,0.0018237097344050805
400,capacity,svd,256,0.9425,1.0,1.0,1.0775,0.862872052192688,-0.01155521869659423,1.1185221862174117,7.543411008119583,8.406283060312271,0.8820095467567444,0.82725,0.014184768311679363
400,capacity,learned,256,0.9075,0.9975,1.0,1.14,1.5715149521827698,-0.24004831314086908,1.185518863555368,8.772148568630218,10.343663520812989,1.6408851194381713,0.7977500000000001,0.0614892803132534
400,generalization,identity,384,0.9,1.0,1.0,1.125,1.3753204870223998,-0.18313770294189452,1.1432100834659733,10.351318974494934,11.726639461517333,1.4324249839782714,1.0,0.0
400,generalization,random,32,0.6000000000000001,0.8816666666666667,0.9316666666666666,0.0,0.02898452490568161,-0.1351250857114792,0.0,0.0,0.0,0.0726583006978035,0.6071666666666667,0.003933255172645052
400,generalization,svd,32,0.76,0.985,1.0,1.425,0.13175398498773574,-0.11864521503448486,1.094796304547307,1.603025071322918,1.7347790563106538,0.16679835826158523,0.6559999999999999,0.04158796742558479
400,generalization,learned,32,0.755,0.995,1.0,1.465,0.1426459500193596,-0.1635474920272827,1.185622006151412,0.9806140011548996,1.1232599511742591,0.18671712428331375,0.6409999999999999,0.0477457158267498
400,generalization,random,64,0.735,0.9716666666666667,0.9966666666666667,0.0,0.1447569485505422,-0.118576576312383,0.0,0.0,0.0,0.18529516836007434,0.7003333333333334,0.003624960702533523
400,generalization,svd,64,0.88,1.0,1.0,1.165,0.47949972331523893,-0.10169476270675659,1.197897148006637,2.6356531697511674,3.1151528930664063,0.499244869351387,0.7120000000000001,0.023994384333491325
