N,projection_type,W,recall_at_1,recall_at_5,recall_at_10,mean_rank,median_rank,mean_margin,p5_margin,p10_margin,mean_gap_ratio,p5_gap_ratio,p10_gap_ratio,mean_prototype_density,p5_prototype_density,p10_prototype_density,mean_top1_dist,mean_top2_dist,mean_decision_gap,p5_decision_gap,p10_decision_gap,std_recall_at_1
200,random,64,0.7716666666666666,0.9816666666666666,0.9916666666666666,1.5566666666666666,1.0,0.15930395662784577,-0.09776234229405721,-0.0653778592745463,1.1082297489371054,0.9450867579937623,0.9642082958985428,1.9228051267067592,1.7255993843078612,1.7622037013371787,1.6185091497500739,1.804827778538068,0.1863186287879944,0.009111418326695762,0.015644427140553797,0.014337208778404392
200,oracle_svd,64,0.91,1.0,1.0,1.1,1.0,0.5713830560445785,-0.06008380651473998,0.014441967010498052,1.2356617945215964,0.9792942985812232,1.0047039817947763,3.5099599528312684,3.1347496271133424,3.2099037408828734,2.6230520671606063,3.2091970264911653,0.5861449593305588,0.037288010120391846,0.09400715827941898,0.0
200,random,128,0.8583333333333334,0.995,0.9983333333333334,1.2683333333333333,1.0,0.3957063206036886,-0.10400519371032714,-0.04083162943522134,1.1343472952908595,0.9709039065051952,0.9887864856800789,3.916680768728256,3.577583583196004,3.6329102754592895,3.278590133587519,3.6985522472858428,0.4199621136983236,0.019804549217224122,0.043973739941914884,0.022484562605386758
200,oracle_svd,128,0.935,1.0,1.0,1.075,1.0,0.9519087255001069,-0.038532376289367655,0.08802571296691897,1.2334368902099313,0.9919252707688615,1.0173114798249268,5.721619355678558,5.304121112823486,5.409701776504517,4.439306687116623,5.4070505523681645,0.9677438652515411,0.0715562105178833,0.12615060806274414,0.0
400,raw,,0.925,1.0,1.0,1.0925,1.0,1.3083902597427368,-0.1327154159545898,0.16428489685058623,1.1385709025467197,0.9882463203220637,1.0144332046613354,12.065984518527985,11.267774820327759,11.406882858276367,10.156252763271333,11.502092120647431,1.3458393573760987,0.1310435771942139,0.2251626014709473,0.0
400,random,32,0.5225,0.8183333333333334,0.9033333333333333,4.5075,1.3333333333333333,0.011065757572650908,-0.15392854710419973,-0.11882099310557048,1.0252521178253178,0.8378629019552584,0.8754675733907421,0.9488700420657793,0.8072895218928654,0.8341026922067006,0.8248980922003586,0.8892199753224851,0.06432188312212626,0.0031756619612375897,0.00604246457417806,0.03576543955645824
400,oracle_svd,32,0.775,0.985,0.995,1.46,1.0,0.14119610339403152,-0.09333465695381164,-0.05739146471023559,1.0906068268527798,0.9505121889136522,0.9701966603632795,2.0131503462791445,1.5760826647281647,1.6284192681312561,1.6728992542624475,1.8375636321306228,0.1646643778681755,0.00563204288482666,0.013005554676055912,0.0
400,random,64,0.7258333333333332,0.9533333333333333,0.9833333333333334,1.825,1.0,0.12757402191559475,-0.13956714073816934,-0.08993641535441081,1.0867093382030604,0.924262232023897,0.9515503790558189,1.9230314768354095,1.7162803073724113,1.7530189712842306,1.6408179208636284,1.8077016800642014,0.16688375920057297,0.006960717837015788,0.01572928826014201,0.0320373046445685
400,oracle_svd,64,0.8875,1.0,1.0,1.1575,1.0,0.47982578098773954,-0.09985144138336181,-0.021664142608642578,1.187120420641461,0.9647011293037329,0.9929827941943191,3.5182588386535643,3.1686128854751585,3.239118242263794,2.7302704352140426,3.232629114985466,0.5023586797714233,0.040037453174591064,0.08160672187805176,0.0
400,random,128,0.8208333333333333,0.9891666666666667,0.9975,1.3525,1.0,0.3447649405399959,-0.1559600512186686,-0.07683311303456623,1.116561574254564,0.9588965983709751,0.978796558905668,3.913280580441157,3.5807972311973573,3.6327284097671506,3.3155460307995477,3.698454186121623,0.38290815532207495,0.01883116960525513,0.03500790596008301,0.020649186155606424
